motorB, motorC, infra, time
0, 0, 64, 24
1, -1, 65, 31
3, -2, 65, 43
6, -6, 65, 57
9, -9, 65, 64
13, -16, 66, 81
21, -21, 66, 96
27, -27, 66, 104
30, -30, 66, 111
37, -37, 66, 122
42, -42, 67, 132
46, -46, 67, 140
52, -52, 67, 148
58, -58, 67, 158
66, -66, 67, 170
70, -69, 67, 176
75, -75, 65, 185
82, -83, 65, 196
88, -88, 65, 205
93, -93, 65, 213
99, -99, 65, 220
107, -108, 65, 232
112, -114, 64, 240
117, -119, 64, 247
125, -127, 64, 259
130, -133, 64, 266
136, -139, 64, 275
142, -145, 64, 283
148, -152, 62, 295
157, -163, 62, 306
164, -169, 62, 315
170, -177, 62, 325
177, -184, 62, 334
182, -190, 51, 342
188, -197, 51, 350
196, -205, 51, 361
200, -210, 51, 367
205, -215, 51, 374
210, -221, 51, 382
221, -233, 43, 397
226, -239, 43, 404
231, -244, 43, 411
238, -254, 43, 424
245, -260, 43, 432
250, -265, 43, 440
260, -275, 41, 451
272, -289, 41, 468
278, -294, 41, 476
285, -303, 41, 486
291, -308, 41, 495
303, -321, 37, 510
309, -328, 37, 519
314, -333, 37, 525
330, -350, 38, 547
340, -360, 38, 560
344, -365, 38, 566
352, -372, 38, 576
358, -379, 38, 584
364, -385, 38, 592
373, -394, 40, 604
380, -402, 40, 613
387, -409, 40, 623
393, -416, 40, 631
401, -424, 40, 641
408, -431, 45, 651
413, -437, 45, 657
420, -444, 45, 667
428, -453, 45, 678
433, -457, 45, 684
438, -463, 45, 691
453, -479, 51, 712
458, -485, 51, 719
464, -491, 51, 726
471, -498, 51, 735
476, -505, 51, 743
485, -514, 52, 755
494, -524, 52, 767
499, -529, 52, 774
504, -535, 52, 781
511, -543, 52, 791
518, -550, 52, 800
523, -556, 52, 807
532, -566, 52, 820
536, -571, 52, 827
544, -579, 52, 837
550, -586, 52, 845
558, -596, 54, 857
566, -604, 54, 869
573, -611, 54, 877
578, -620, 54, 888
585, -626, 54, 895
592, -632, 52, 904
597, -638, 52, 911
604, -646, 52, 921
611, -653, 52, 930
616, -658, 52, 937
621, -664, 52, 944
629, -672, 51, 955
636, -680, 51, 964
641, -685, 51, 971
650, -694, 51, 983
656, -702, 51, 992
661, -706, 51, 998
668, -714, 52, 1009
676, -722, 52, 1018
681, -727, 52, 1025
687, -733, 52, 1033
693, -740, 52, 1041
696, -749, 52, 1053
714, -762, 47, 1070
720, -769, 47, 1078
726, -774, 47, 1086
735, -784, 47, 1097
743, -792, 47, 1107
750, -804, 47, 1123
761, -812, 47, 1132
772, -823, 47, 1147
780, -833, 47, 1160
789, -841, 47, 1170
794, -847, 47, 1176
800, -853, 47, 1184
815, -869, 47, 1205
822, -877, 47, 1215
827, -882, 47, 1222
836, -891, 47, 1233
839, -895, 47, 1241
846, -903, 47, 1247
851, -908, 47, 1257
863, -922, 50, 1271
868, -928, 50, 1278
878, -938, 50, 1292
882, -942, 50, 1297
887, -948, 50, 1304
892, -954, 50, 1311
897, -960, 53, 1320
902, -966, 53, 1326
908, -972, 53, 1334
913, -977, 53, 1341
917, -982, 53, 1347
922, -987, 53, 1353
926, -992, 53, 1359
932, -998, 57, 1368
937, -1004, 57, 1374
942, -1009, 57, 1381
946, -1015, 57, 1388
952, -1020, 57, 1395
957, -1027, 57, 1403
961, -1031, 57, 1410
966, -1037, 62, 1417
972, -1043, 62, 1424
976, -1048, 62, 1430
982, -1053, 62, 1436
987, -1059, 62, 1443
992, -1064, 62, 1450
996, -1069, 62, 1456
1001, -1074, 62, 1463
1008, -1081, 66, 1472
1012, -1086, 66, 1478
1016, -1090, 66, 1483
1022, -1096, 66, 1491
1027, -1101, 66, 1497
1032, -1107, 66, 1505
1037, -1112, 66, 1512
1042, -1118, 65, 1520
1048, -1123, 65, 1525
1053, -1129, 65, 1533
1058, -1135, 65, 1540
1063, -1139, 65, 1546
1068, -1145, 65, 1552
1071, -1149, 65, 1557
1077, -1155, 65, 1565
1093, -1171, 65, 1586
1098, -1177, 65, 1593
1104, -1183, 65, 1601
1108, -1188, 65, 1607
1113, -1193, 65, 1613
1119, -1200, 59, 1622
1125, -1205, 59, 1629
1130, -1211, 59, 1636
1135, -1216, 59, 1642
1139, -1221, 59, 1648
1148, -1231, 59, 1661
1154, -1237, 59, 1668
1160, -1243, 47, 1676
1165, -1249, 47, 1683
1170, -1255, 47, 1691
1175, -1260, 47, 1697
1180, -1266, 47, 1704
1185, -1271, 47, 1711
1189, -1275, 47, 1716
1195, -1282, 41, 1724
1200, -1287, 41, 1731
1205, -1293, 41, 1738
1210, -1298, 41, 1745
1214, -1303, 41, 1750
1218, -1308, 41, 1757
1223, -1313, 41, 1764
1228, -1319, 41, 1771
1234, -1325, 39, 1779
1238, -1330, 39, 1785
1243, -1335, 39, 1792
1248, -1340, 39, 1798
1253, -1346, 39, 1806
1258, -1352, 39, 1813
1262, -1357, 39, 1820
1268, -1363, 38, 1827
1274, -1369, 38, 1835
1278, -1375, 38, 1842
1282, -1379, 38, 1847
1287, -1384, 38, 1853
1292, -1389, 38, 1860
1297, -1394, 38, 1867
1301, -1400, 38, 1875
