motorB, motorC, infra, gyro, time
0, 0, 56, 0, 28
1, -1, 56, 0, 39
2, -3, 56, 0, 50
7, -8, 56, 0, 67
18, -19, 56, 0, 95
25, -27, 56, 2, 110
33, -36, 59, 4, 128
42, -46, 59, 7, 147
51, -56, 59, 9, 161
63, -68, 57, 13, 181
73, -79, 57, 17, 197
83, -91, 57, 21, 214
94, -101, 57, 25, 232
113, -124, 57, 32, 261
130, -142, 57, 37, 285
141, -152, 57, 41, 298
153, -167, 57, 46, 317
163, -177, 56, 50, 330
175, -190, 56, 54, 347
198, -214, 57, 63, 379
210, -228, 57, 68, 396
226, -245, 57, 75, 420
240, -260, 56, 79, 437
258, -279, 56, 86, 461
266, -287, 56, 89, 472
277, -300, 56, 94, 488
286, -309, 56, 96, 502
299, -323, 56, 102, 517
308, -333, 56, 106, 530
319, -345, 56, 109, 545
331, -358, 56, 114, 561
343, -371, 56, 118, 577
358, -388, 56, 124, 599
369, -400, 56, 128, 616
380, -413, 56, 132, 631
389, -424, 55, 136, 644
403, -439, 55, 141, 664
419, -458, 56, 148, 687
427, -466, 56, 151, 698
441, -483, 56, 156, 719
451, -493, 56, 160, 734
462, -505, 56, 164, 746
477, -522, 56, 170, 768
486, -534, 56, 174, 784
505, -553, 55, 181, 807
515, -565, 55, 186, 824
527, -576, 55, 190, 836
535, -586, 56, 193, 849
549, -600, 56, 198, 866
557, -609, 56, 201, 878
568, -623, 56, 206, 895
582, -636, 56, 210, 911
594, -648, 56, 215, 927
603, -661, 52, 221, 944
617, -674, 52, 225, 960
631, -688, 52, 230, 977
640, -698, 52, 234, 991
653, -713, 48, 239, 1008
662, -724, 48, 244, 1025
676, -737, 48, 248, 1040
684, -746, 43, 251, 1051
695, -760, 43, 256, 1069
707, -773, 43, 261, 1088
723, -790, 39, 267, 1106
734, -802, 39, 270, 1121
745, -815, 39, 275, 1138
755, -832, 38, 280, 1159
770, -845, 38, 285, 1174
783, -860, 38, 290, 1194
794, -871, 40, 294, 1207
803, -882, 40, 298, 1221
814, -895, 40, 302, 1237
827, -909, 42, 307, 1255
835, -918, 42, 310, 1265
857, -942, 42, 319, 1296
867, -953, 47, 323, 1310
878, -965, 47, 327, 1325
889, -977, 47, 332, 1341
903, -993, 52, 337, 1359
915, -1005, 52, 341, 1376
925, -1017, 52, 347, 1392
937, -1030, 56, 351, 1407
947, -1041, 56, 355, 1424
962, -1057, 56, 360, 1441
973, -1068, 57, 364, 1455
989, -1087, 57, 371, 1482
1005, -1103, 57, 377, 1500
1015, -1115, 58, 381, 1514
1026, -1127, 58, 385, 1528
1036, -1140, 58, 390, 1545
1053, -1157, 57, 395, 1565
1074, -1181, 57, 403, 1595
1084, -1193, 56, 408, 1611
1092, -1203, 56, 411, 1624
1103, -1215, 56, 415, 1638
1111, -1224, 56, 419, 1650
1119, -1235, 56, 422, 1664
1130, -1247, 56, 426, 1678
1138, -1256, 56, 429, 1690
1148, -1268, 56, 433, 1704
1158, -1278, 56, 437, 1718
1168, -1290, 56, 441, 1734
1175, -1300, 56, 444, 1744
1193, -1319, 55, 451, 1769
1202, -1328, 55, 456, 1786
1216, -1344, 55, 460, 1800
1225, -1354, 55, 464, 1814
1247, -1377, 55, 472, 1842
1258, -1389, 55, 476, 1858
1268, -1400, 56, 480, 1872
1280, -1413, 56, 484, 1887
1291, -1426, 56, 489, 1905
1305, -1439, 55, 494, 1921
1312, -1448, 55, 496, 1931
1327, -1464, 55, 503, 1952
1344, -1482, 57, 509, 1975
1352, -1490, 57, 512, 1985
1361, -1500, 57, 516, 1998
1370, -1510, 57, 519, 2010
1379, -1519, 56, 523, 2022
1386, -1527, 56, 525, 2032
1396, -1538, 56, 529, 2046
1403, -1547, 56, 532, 2057
1412, -1556, 56, 536, 2068
1419, -1565, 55, 539, 2080
1431, -1578, 55, 543, 2096
1438, -1586, 55, 546, 2106
1447, -1597, 55, 549, 2119
1454, -1605, 56, 552, 2130
1463, -1614, 56, 556, 2142
1471, -1625, 56, 559, 2154
1479, -1633, 56, 562, 2165
1489, -1644, 56, 566, 2179
1496, -1653, 56, 569, 2190
1504, -1662, 56, 572, 2201
1513, -1672, 56, 576, 2215
1523, -1682, 52, 579, 2227
1530, -1690, 52, 582, 2238
1538, -1700, 52, 586, 2250
1546, -1709, 52, 588, 2261
1554, -1718, 52, 592, 2273
1564, -1728, 48, 595, 2285
1571, -1736, 48, 599, 2296
1579, -1745, 48, 602, 2307
1594, -1761, 43, 608, 2328
1604, -1771, 43, 612, 2341
1622, -1792, 43, 620, 2367
1632, -1802, 39, 623, 2379
1640, -1811, 39, 627, 2391
1651, -1822, 39, 631, 2405
1659, -1831, 39, 634, 2417
1668, -1842, 38, 638, 2430
1677, -1851, 38, 641, 2441
1688, -1862, 38, 645, 2455
1697, -1872, 38, 649, 2467
1705, -1881, 38, 652, 2479
1714, -1891, 40, 656, 2491
1725, -1902, 40, 660, 2505
1733, -1912, 40, 663, 2517
1742, -1922, 40, 667, 2530
1750, -1931, 43, 670, 2541
1760, -1942, 43, 674, 2555
1768, -1951, 43, 677, 2566
1777, -1960, 43, 680, 2578
1787, -1974, 49, 685, 2595
1796, -1982, 49, 688, 2605
1803, -1990, 49, 691, 2615
1812, -2001, 49, 695, 2628
1820, -2010, 54, 698, 2640
1827, -2019, 54, 700, 2651
1835, -2028, 54, 704, 2662
1843, -2036, 54, 707, 2674
1852, -2047, 54, 710, 2687
