L, R
523, 0
523, 0
523, 0
523, 0
523, 0
523, 0
523, 0
523, 0
523, 0
523, 0
523, 0
523, 0
523, 0
523, 0
523, 0
523, 0
523, 0
527, 0
527, 0
527, 0
527, 0
527, 0
527, 0
527, 0
527, 0
527, 0
527, 0
537, 0
537, 0
537, 0
537, 0
537, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
563, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
2550, 0
1816, 0
1816, 0
1816, 0
1816, 0
1816, 0
1816, 0
1816, 0
1294, 0
1294, 0
1294, 0
1294, 0
1294, 0
1294, 0
1294, 0
1294, 0
1730, 0
1730, 0
1730, 0
1730, 0
1730, 0
1730, 0
1730, 0
1730, 0
1290, 0
1290, 0
1290, 0
1290, 0
1290, 0
1290, 0
1290, 0
1290, 0
1273, 0
1273, 0
1273, 0
1273, 0
1273, 0
1273, 0
