L, R, motor_r, motor_l
758, 338, 0, 0
758, 338, 0, 0
758, 338, 0, 0
758, 713, 0, 0
758, 713, -1, 0
758, 713, -1, 1
758, 713, -2, 1
766, 713, -2, 2
766, 713, -3, 2
766, 713, -3, 3
766, 713, -4, 3
766, 713, -5, 4
766, 713, -6, 4
766, 698, -6, 5
766, 698, -7, 5
766, 698, -8, 6
766, 698, -9, 7
766, 698, -10, 7
766, 698, -10, 7
766, 698, -11, 8
766, 698, -12, 8
766, 698, -13, 9
766, 326, -14, 10
766, 326, -14, 10
766, 326, -15, 10
766, 326, -16, 11
326, 326, -16, 12
326, 326, -17, 12
326, 326, -17, 13
326, 326, -18, 13
326, 326, -19, 14
326, 326, -19, 14
326, 326, -20, 15
326, 326, -20, 15
326, 326, -21, 16
326, 326, -22, 16
326, 326, -22, 16
326, 326, -23, 17
326, 326, -24, 17
326, 326, -24, 18
326, 326, -25, 18
326, 326, -25, 19
326, 326, -26, 19
326, 326, -26, 19
326, 326, -27, 20
326, 326, -28, 20
326, 326, -28, 21
326, 326, -29, 21
326, 326, -30, 22
326, 326, -30, 22
326, 326, -31, 22
326, 326, -31, 23
326, 326, -32, 23
326, 326, -33, 24
326, 326, -33, 24
326, 326, -34, 24
326, 326, -35, 25
326, 326, -35, 25
326, 326, -36, 26
326, 326, -36, 26
326, 326, -37, 27
326, 326, -38, 27
326, 326, -38, 27
641, 326, -39, 28
641, 326, -40, 28
641, 626, -40, 29
626, 626, -41, 29
626, 626, -42, 30
626, 626, -42, 30
630, 626, -43, 31
630, 626, -44, 31
630, 626, -44, 32
321, 626, -45, 32
321, 626, -46, 32
321, 626, -46, 33
492, 355, -47, 34
492, 355, -48, 34
492, 355, -48, 34
340, 555, -49, 35
340, 555, -50, 35
340, 555, -50, 36
473, 360, -51, 36
473, 360, -52, 37
473, 360, -52, 37
473, 580, -53, 38
328, 580, -54, 38
328, 580, -54, 39
328, 580, -55, 39
483, 580, -56, 40
483, 580, -56, 40
483, 580, -57, 40
617, 580, -58, 41
617, 580, -58, 41
617, 580, -59, 42
605, 597, -60, 42
605, 597, -60, 43
605, 597, -61, 43
658, 654, -61, 44
658, 654, -62, 44
573, 624, -64, 45
573, 624, -65, 46
573, 624, -65, 46
563, 645, -66, 47
563, 645, -66, 47
563, 645, -67, 48
697, 490, -68, 48
697, 490, -69, 48
697, 490, -70, 49
605, 649, -70, 49
605, 649, -71, 50
605, 649, -71, 50
689, 500, -72, 50
689, 500, -73, 51
689, 500, -73, 51
689, 570, -74, 52
578, 570, -75, 52
578, 570, -75, 53
607, 570, -76, 53
607, 670, -77, 54
607, 670, -78, 54
651, 670, -78, 54
651, 670, -79, 55
651, 670, -79, 55
643, 670, -80, 56
643, 670, -81, 56
643, 670, -81, 56
643, 670, -82, 57
643, 670, -82, 57
626, 670, -83, 58
626, 670, -84, 58
626, 670, -84, 58
626, 670, -85, 59
626, 670, -85, 59
626, 670, -86, 60
626, 670, -87, 60
626, 670, -87, 60
626, 670, -88, 61
626, 670, -88, 61
626, 670, -89, 61
626, 670, -90, 62
626, 670, -90, 62
626, 670, -91, 62
626, 670, -91, 63
626, 670, -92, 63
626, 670, -93, 64
626, 670, -93, 64
544, 670, -94, 64
544, 670, -94, 65
544, 670, -95, 65
544, 670, -96, 66
599, 670, -96, 66
599, 670, -97, 66
599, 670, -98, 67
544, 670, -98, 67
544, 670, -99, 68
544, 670, -99, 68
555, 670, -100, 69
555, 670, -101, 69
555, 670, -102, 70
555, 670, -103, 70
555, 670, -103, 71
555, 670, -104, 71
555, 670, -104, 71
555, 670, -105, 72
555, 670, -106, 72
555, 670, -106, 73
555, 670, -107, 73
559, 670, -108, 73
559, 713, -108, 74
559, 713, -109, 74
523, 713, -110, 75
523, 713, -110, 75
491, 713, -111, 76
491, 713, -112, 76
491, 713, -112, 77
491, 713, -113, 77
561, 713, -114, 77
561, 713, -114, 78
561, 713, -115, 78
534, 471, -116, 79
534, 471, -116, 79
534, 471, -117, 80
538, 481, -118, 80
538, 481, -118, 81
538, 481, -119, 81
559, 518, -120, 81
559, 518, -120, 82
559, 518, -121, 82
609, 540, -122, 83
609, 540, -122, 83
609, 540, -123, 84
554, 511, -124, 84
554, 511, -124, 84
554, 511, -125, 85
527, 511, -126, 85
527, 504, -126, 86
527, 504, -127, 86
534, 544, -128, 87
534, 544, -128, 87
534, 544, -129, 88
525, 511, -129, 88
525, 511, -130, 88
525, 511, -130, 89
525, 511, -131, 89
590, 590, -132, 90
590, 590, -132, 90
590, 590, -133, 91
590, 567, -134, 91
590, 567, -134, 92
590, 567, -135, 92
616, 536, -136, 93
616, 536, -136, 93
616, 536, -137, 94
605, 532, -138, 94
605, 532, -138, 94
605, 532, -139, 95
605, 532, -140, 95
561, 523, -141, 96
561, 523, -141, 96
546, 519, -142, 97
