L, R, motor_r, motor_l
326, 321, 0, 0
326, 237, 0, 0
326, 237, 0, 0
236, 321, 0, 1
236, 321, -1, 1
236, 321, -1, 1
236, 321, -2, 2
326, 247, -2, 2
326, 247, -3, 3
326, 247, -3, 3
228, 321, -4, 4
228, 321, -5, 5
326, 257, -7, 6
326, 257, -9, 8
219, 321, -10, 8
219, 321, -11, 9
326, 263, -12, 9
326, 263, -14, 10
213, 321, -15, 11
213, 321, -16, 11
213, 321, -17, 12
321, 273, -18, 13
321, 273, -19, 13
205, 273, -20, 14
205, 326, -21, 14
205, 326, -21, 15
321, 281, -22, 15
321, 281, -23, 16
321, 281, -24, 16
197, 321, -25, 17
197, 321, -25, 17
197, 321, -26, 17
197, 321, -27, 18
321, 298, -28, 18
321, 298, -28, 19
321, 298, -29, 19
321, 298, -30, 20
321, 298, -31, 20
321, 298, -31, 20
321, 308, -32, 21
321, 308, -33, 21
321, 308, -34, 22
321, 308, -34, 22
321, 308, -35, 23
321, 308, -36, 23
321, 308, -36, 23
321, 326, -37, 24
321, 326, -38, 24
321, 326, -39, 25
321, 321, -40, 25
321, 321, -41, 25
321, 321, -41, 26
321, 324, -42, 26
321, 324, -43, 27
321, 324, -43, 27
321, 324, -44, 27
326, 334, -45, 28
326, 334, -45, 28
326, 334, -46, 28
326, 328, -47, 29
326, 328, -47, 29
326, 328, -48, 30
326, 329, -49, 30
326, 329, -50, 30
326, 329, -51, 31
326, 329, -52, 31
326, 340, -53, 32
326, 340, -54, 32
326, 338, -55, 33
326, 338, -55, 33
326, 338, -56, 33
322, 336, -57, 34
322, 336, -58, 34
322, 336, -58, 34
322, 336, -59, 35
322, 336, -60, 35
322, 336, -61, 36
322, 336, -62, 36
321, 340, -63, 36
321, 340, -63, 37
321, 340, -64, 37
304, 340, -65, 37
304, 340, -65, 38
304, 340, -66, 38
304, 340, -67, 38
308, 345, -68, 39
308, 345, -69, 39
308, 345, -69, 39
302, 345, -70, 40
302, 345, -71, 40
302, 345, -72, 41
302, 347, -73, 41
297, 347, -73, 41
297, 347, -74, 42
296, 349, -75, 42
296, 349, -76, 43
296, 349, -76, 43
296, 348, -77, 43
296, 348, -78, 44
296, 348, -79, 44
296, 348, -79, 44
290, 353, -80, 45
290, 353, -81, 45
290, 353, -81, 45
288, 353, -82, 46
288, 353, -83, 46
288, 353, -84, 46
281, 353, -85, 47
281, 355, -85, 47
281, 355, -86, 47
330, 263, -87, 48
330, 263, -88, 48
330, 263, -89, 49
281, 357, -89, 49
281, 357, -90, 49
281, 357, -91, 50
329, 273, -92, 50
329, 273, -92, 51
329, 273, -93, 51
329, 273, -94, 51
273, 357, -95, 52
273, 357, -96, 52
329, 281, -97, 53
329, 281, -98, 53
329, 281, -99, 53
267, 361, -99, 54
267, 361, -100, 54
267, 361, -101, 55
336, 304, -102, 55
336, 304, -103, 55
336, 304, -103, 56
336, 304, -104, 56
338, 321, -105, 57
338, 321, -106, 57
338, 321, -107, 58
338, 326, -107, 58
338, 326, -108, 58
338, 326, -109, 59
340, 326, -110, 59
340, 326, -111, 60
340, 326, -111, 60
345, 321, -112, 61
345, 321, -113, 61
345, 321, -114, 61
345, 321, -115, 62
345, 321, -115, 62
345, 321, -116, 63
345, 321, -117, 63
345, 321, -118, 64
